logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.00	  6000	 0.0	 2.0	 0.6801	 0.1523	v 	L	A
 4.50	  6000	 0.0	 2.0	 0.6731	 0.1587	v 	L	A
 4.00	  6250	 0.0	 2.0	 0.6169	 0.2000	v 	L	A
 4.50	  6250	 0.0	 2.0	 0.6059	 0.2100	v 	L	A
 4.00	  6000	 0.0	 2.0	 0.4110	 0.2882	V 	L	A
 4.50	  6000	 0.0	 2.0	 0.4152	 0.2860	V 	L	A
 4.00	  6250	 0.0	 2.0	 0.3758	 0.3047	V 	L	A
 4.50	  6250	 0.0	 2.0	 0.3771	 0.3051	V 	L	A
